Nombre del R-tree,Promedio de accesos,Tiempo promedio de consulta (segundos)
RTree_0.txt,2.04,0.000213154
RTree_1.txt,2.31,0.000255313
RTree_2.txt,1.62,0.000142116
RTree_3.txt,1.65,0.000173097
RTree_4.txt,1.33,9.8513e-05
RTree_5.txt,1.44,9.207e-05
RTree_6.txt,1.48,0.000104042
RTree_7.txt,1.96,0.000179676
RTree_8.txt,1.51,0.000102056
RTree_9.txt,1.66,0.000128843
RTree_10.txt,2.02,0.000171041
RTree_11.txt,3.71,0.000396318
RTree_12.txt,6.41,0.000778203
RTree_13.txt,11.66,0.00152022
RTree_14.txt,1.04,2.6084e-05
RTree_15.txt,1.02,2.6951e-05
